Aichig_Sportplatz_DipoleDipole_02_SW-NE
  2.000
3
2233
1
1
Phase Angle
mrad
0.0  4.16
208.000   6.000 3   290.653    -2.400
211.000   6.000 4   372.332     0.890
214.000   6.000 5   498.192   -13.000
215.000   8.000 4   551.070    12.790
198.000   2.000 1    49.177    -6.400
199.000   2.000 2    70.980     3.530
200.000   2.000 3    96.617   -10.090
201.000   2.000 4   159.442     4.460
202.000   2.000 5   137.388     1.440
201.000   4.000 2   162.473     1.940
203.000   4.000 3   164.265     5.630
205.000   4.000 4   197.337     0.940
207.000   4.000 5   254.877   -10.390
206.000   6.000 3   265.666     2.200
209.000   6.000 4   377.730     9.220
212.000   6.000 5   459.888    13.540
213.000   8.000 4   566.784     1.880
196.000   2.000 1    46.361     1.400
197.000   2.000 2    73.332     3.880
198.000   2.000 3    96.570     0.940
199.000   2.000 4   124.226    -8.380
200.000   2.000 5   192.128     1.300
199.000   4.000 2   179.802     4.930
201.000   4.000 3   194.764     4.650
203.000   4.000 4   233.523    -0.040
205.000   4.000 5   278.725     2.970
204.000   6.000 3   310.712    -6.270
207.000   6.000 4   441.125    17.430
210.000   6.000 5   516.057    10.330
211.000   8.000 4   593.495     3.610
194.000   2.000 1    46.878    -5.700
195.000   2.000 2    85.498     2.610
196.000   2.000 3   122.978    -2.250
197.000   2.000 4   158.354     0.510
198.000   2.000 5   191.301    -9.980
197.000   4.000 2   208.847     2.510
199.000   4.000 3   321.913    -0.880
201.000   4.000 4   305.750     1.410
203.000   4.000 5   352.597    -1.670
202.000   6.000 3   345.818     8.540
205.000   6.000 4   474.745     1.910
208.000   6.000 5   558.624   -11.790
209.000   8.000 4   618.386    13.720
192.000   2.000 1    77.389    -0.070
193.000   2.000 2    96.607     1.290
194.000   2.000 3   155.952     3.800
195.000   2.000 4   206.812     1.180
196.000   2.000 5   256.742    10.140
195.000   4.000 2   223.537     1.890
197.000   4.000 3   345.711     1.750
199.000   4.000 4   326.876     4.140
201.000   4.000 5   379.726     1.740
200.000   6.000 3   350.066    10.690
203.000   6.000 4   436.624    -1.470
206.000   6.000 5   578.561    -8.140
207.000   8.000 4   610.706     7.520
211.000   8.000 5   718.319    -2.200
190.000   2.000 1    90.140    -3.990
191.000   2.000 2    93.705     0.450
192.000   2.000 3   108.664     2.910
193.000   2.000 4   163.602    -0.260
194.000   2.000 5   205.446    -1.220
193.000   4.000 2   182.473    -2.400
195.000   4.000 3   261.325     4.520
197.000   4.000 4   356.900    -0.660
199.000   4.000 5   323.587     0.080
198.000   6.000 3   338.440     3.950
201.000   6.000 4   396.090    12.870
