Aichig_Sportplatz_DipolDipol_04_S-N
  2.000
3
308
1
1
Phase Angle
mrad
0.0  4.16
 31.000   2.000 4   106.742     4.240
 32.000   2.000 5   149.359     1.830
 31.000   4.000 2   123.436     1.090
 33.000   4.000 3   183.487     0.930
 35.000   4.000 4   197.872    -0.530
 37.000   4.000 5   217.177   -10.220
 36.000   6.000 3   209.940     1.210
 39.000   6.000 4   185.579    -1.160
 42.000   6.000 5   146.849   -12.590
 43.000   8.000 4   191.083   -13.510
 26.000   2.000 1    33.191   -11.020
 27.000   2.000 2    48.490     1.240
 28.000   2.000 3    56.811     4.140
 29.000   2.000 4    91.506     2.420
 30.000   2.000 5   109.854     1.930
 29.000   4.000 2   103.794     3.680
 31.000   4.000 3   174.202     2.870
 33.000   4.000 4   182.067    -3.440
 35.000   4.000 5   202.388    14.240
 34.000   6.000 3   204.855    -6.300
 37.000   6.000 4   198.361    -2.680
 40.000   6.000 5   155.609    -0.280
 41.000   8.000 4   166.802   -10.070
 24.000   2.000 1    37.743   -12.710
 25.000   2.000 2    43.948    -1.110
 26.000   2.000 3    61.485     0.030
 27.000   2.000 4    69.105     1.080
 28.000   2.000 5   107.435    -4.900
 27.000   4.000 2    86.879    -0.240
 29.000   4.000 3   148.541     6.100
 31.000   4.000 4   203.103     5.870
 33.000   4.000 5   210.170     1.590
 32.000   6.000 3   209.082     4.420
 35.000   6.000 4   231.427    16.840
 38.000   6.000 5   177.535    -8.670
 39.000   8.000 4   175.482    -2.390
 34.000  22.000 1   263.264     8.120
 22.000   2.000 1    39.770     4.900
 23.000   2.000 2    50.998     2.130
 24.000   2.000 3    51.745    -5.920
 25.000   2.000 4    71.897     4.300
 26.000   2.000 5    78.805     8.120
 25.000   4.000 2    81.158     1.260
 27.000   4.000 3   136.706     1.300
 29.000   4.000 4   219.551     5.400
 31.000   4.000 5   221.623    -5.680
 30.000   6.000 3   240.578    -3.770
 33.000   6.000 4   254.173     0.190
 36.000   6.000 5   223.963     3.220
 37.000   8.000 4   195.206    -7.680
 20.000   2.000 1    45.894    -4.370
 21.000   2.000 2    49.447    -0.860
 22.000   2.000 3    72.233     3.050
 23.000   2.000 4    61.027    -4.360
 24.000   2.000 5    89.324     0.640
 23.000   4.000 2    71.792     2.420
 25.000   4.000 3   119.950    -3.480
 27.000   4.000 4   197.141    -1.220
 29.000   4.000 5   262.226     8.530
 28.000   6.000 3   255.431     1.940
 31.000   6.000 4   273.252    -2.900
 34.000   6.000 5   258.302    -5.030
 35.000   8.000 4   226.738     6.690
 39.000   8.000 5   243.753    16.390
 35.000  16.000 2   256.220     1.580
 18.000   2.000 1    39.674    -0.940
 19.000   2.000 2    46.960     1.580
 20.000   2.000 3    55.029     3.200
 21.000   2.000 4    83.065     5.910
 22.000   2.000 5    58.777    -2.090
 21.000   4.000 2    77.259     1.450
 23.000   4.000 3   103.084     1.410
 25.000   4.000 4   169.961     8.720
 27.000   4.000 5   265.825    12.500
 26.000   6.000 3   250.161    -8.660
 29.000   6.000 4   274.005    -9.140
