lat	lon
5547507	653737
5547510	653745
5547514	653755
5547518	653764
5547521	653773
5547524	653783
5547527	653793
5547530	653801
5547532	653812
5547534	653821
5547538	653831
5547541	653840
5547543	653850
5547546	653860
5547549	653870
5547550	653879
5547554	653889
5547557	653898
5547560	653908
5547563	653917
5547567	653926
5547570	653936
5547574	653945
5547578	653955
5547580	653964
